date,temp,rain
2025-06-01,70.0,0.0
2025-06-02,67.0,0.0
2025-06-03,64.0,0.0
2025-06-04,63.0,0.0
2025-06-05,63.0,0.0
2025-06-06,64.0,0.0
2025-06-07,64.0,0.01
2025-06-08,64.0,0.0
2025-06-09,63.0,0.0
2025-06-10,64.0,0.0
2025-06-11,64.0,0.0
2025-06-12,63.0,0.0
2025-06-13,63.0,0.0
2025-06-14,65.0,0.0
2025-06-15,67.0,0.0
2025-06-16,67.0,0.0
2025-06-17,69.0,0.0
2025-06-18,68.0,0.0
2025-06-19,66.0,0.0
2025-06-20,66.0,0.0
2025-06-21,65.0,0.0
2025-06-22,66.0,0.0
2025-06-23,66.0,0.0
2025-06-24,64.0,0.0
2025-06-25,66.0,0.0
2025-06-26,66.0,0.0
2025-06-27,65.0,0.0
2025-06-28,67.0,0.0
2025-06-29,68.0,0.0
2025-06-30,68.0,0.0
2025-07-01,67.0,0.0
2025-07-02,66.0,0.0
2025-07-03,65.0,0.0
2025-07-04,68.0,0.0
2025-07-05,69.0,0.0
2025-07-06,68.0,0.0
2025-07-07,67.0,0.0
2025-07-08,68.0,0.0
2025-07-09,70.0,0.0
2025-07-10,70.0,0.0
2025-07-11,67.0,0.0
2025-07-12,67.0,0.0
2025-07-13,68.0,0.0
2025-07-14,68.0,0.0
2025-07-15,67.0,0.0
2025-07-16,68.0,0.0
2025-07-17,69.0,0.0
2025-07-18,69.0,0.0
2025-07-19,69.0,0.0
2025-07-20,68.0,0.0
2025-07-21,67.0,0.0
2025-07-22,69.0,0.0
2025-07-23,70.0,0.0
2025-07-24,69.0,0.0
2025-07-25,69.0,0.0
2025-07-26,68.0,0.0
2025-07-27,68.0,0.0
2025-07-28,68.0,0.0
2025-07-29,68.0,0.0
2025-07-30,68.0,0.0
2025-07-31,67.0,0.0
2025-08-01,67.0,0.0
2025-08-02,68.0,0.0
2025-08-03,68.0,0.0
2025-08-04,67.0,0.0
2025-08-05,68.0,0.0
2025-08-06,70.0,0.0
2025-08-07,71.0,0.0
2025-08-08,71.0,0.0
2025-08-09,69.0,0.0
2025-08-10,70.0,0.0
2025-08-11,69.0,0.0
2025-08-12,67.0,0.0
2025-08-13,67.0,0.0
2025-08-14,68.0,0.0
2025-08-15,67.0,0.0
2025-08-16,67.0,0.0
2025-08-17,68.0,0.0
2025-08-18,69.0,0.0
2025-08-19,69.0,0.0
2025-08-20,71.0,0.0
2025-08-21,73.0,0.0
2025-08-22,73.0,0.0
2025-08-23,74.0,0.0
2025-08-24,74.0,0.0
2025-08-25,72.0,0.0
2025-08-26,71.0,0.0
2025-08-27,70.0,0.0
2025-08-28,76.0,0.05
2025-08-29,78.0,0.0
2025-08-30,75.0,0.0
2025-08-31,74.5,0.0
2025-09-01,74.0,0.0
2025-09-02,75.5,0.0
2025-09-03,75.0,0.0
2025-09-04,73.0,0.0
2025-09-05,71.0,0.0
2025-09-06,71.0,0.0
2025-09-07,74.5,0.0
2025-09-08,73.0,0.0
2025-09-09,71.0,0.0
2025-09-10,71.5,0.0
2025-09-11,71.0,0.0
2025-09-12,71.5,0.0
2025-09-13,69.5,0.0
2025-09-14,70.5,0.0
2025-09-15,72.5,0.0
2025-09-16,74.0,0.0
2025-09-17,75.5,0.22
2025-09-18,75.0,0.23
2025-09-19,73.0,0.0
2025-09-20,71.0,0.0
2025-09-21,71.5,0.01
2025-09-22,73.5,0.0
2025-09-23,72.5,0.0
2025-09-24,72.0,0.0
2025-09-25,70.0,0.0
2025-09-26,68.5,0.0
2025-09-27,71.0,0.0
2025-09-28,70.5,0.0
2025-09-29,70.5,0.0
2025-09-30,69.5,0.0
2025-10-01,68.0,0.0
2025-10-02,68.5,0.0
2025-10-03,68.0,0.0
2025-10-04,67.0,0.0
2025-10-05,66.0,0.0
2025-10-06,65.0,0.0
2025-10-07,65.5,0.0
2025-10-08,68.0,0.0
2025-10-09,68.5,0.02
2025-10-10,70.5,0.0
2025-10-11,69.0,0.0
2025-10-12,67.5,0.0
2025-10-13,65.0,0.0
2025-10-14,64.0,0.39
2025-10-15,62.0,0.0
2025-10-16,61.5,0.0
2025-10-17,63.5,0.0
2025-10-18,68.5,0.0
2025-10-19,66.5,0.0
2025-10-20,65.0,0.0
2025-10-21,65.0,0.0
2025-10-22,66.0,0.0
2025-10-23,65.0,0.0
2025-10-24,65.5,0.0
2025-10-25,65.0,0.0
2025-10-26,65.0,0.0
2025-10-27,64.5,0.0
2025-10-28,65.5,0.0
2025-10-29,71.0,0.0
2025-10-30,67.5,0.0
2025-10-31,65.5,0.0
2025-11-01,65.0,0.0
2025-11-02,65.0,0.0
2025-11-03,64.5,0.0
2025-11-04,65.0,0.0
2025-11-05,63.5,0.0
2025-11-06,61.5,0.0
2025-11-07,64.5,0.0
2025-11-08,61.0,0.0
2025-11-09,64.0,0.0
2025-11-10,66.0,0.0
2025-11-11,63.5,0.0
2025-11-12,66.0,0.0
2025-11-13,67.0,0.03
2025-11-14,66.5,0.04
2025-11-15,63.5,1.35
2025-11-16,62.5,0.01
2025-11-17,61.0,0.82
2025-11-18,57.0,0.27
2025-11-19,55.5,0.0
2025-11-20,57.0,0.51
2025-11-21,60.0,0.07
2025-11-22,62.0,0.0
2025-11-23,59.5,0.0
2025-11-24,58.0,0.0
2025-11-25,60.0,0.0
2025-11-26,63.0,0.0
2025-11-27,64.5,0.0
2025-11-28,57.5,0.0
2025-11-29,57.0,0.0
2025-11-30,58.5,0.0
2025-12-01,58.5,0.0
2025-12-02,56.0,0.0
2025-12-03,61.0,0.0
2025-12-04,61.0,0.0
2025-12-05,56.5,0.0
2025-12-06,56.0,0.0
2025-12-07,57.5,0.0
2025-12-08,60.0,0.0
2025-12-09,63.5,0.0
2025-12-10,64.0,0.0
2025-12-11,61.5,0.0
2025-12-12,57.0,0.0
2025-12-13,57.5,0.0
